Brand,Perusahaan,Bidang Bisnis,Konsep Bisnis,Kisaran Investasi,Alamat,Telepon,Kisaran Investasi ,Bidang Usaha,Konsep Usaha,Investasi
Double Dipps,PT Sinar Harapan Abadi,F&B,BO,80-275jt,Business Park Kebon Jeruk Blok F1 No.6-7 Jl. Meruya Ilir No.88 Jakarta Barat,021-30067875-76,,,,
Mini Cafe Ellina Resto,CV Ellino Group,F&B,BO,55jt,Deni Kerto RT01/07 Saroharjo ngalik Sleman Jogyakarta,0274-7145900,,,,
Mr Pea,PT Gempita Muda Indonesia,F&B,Franchise,5jt,Jl. RM Kahfi 1 No.33 Ciganjur Jakarta 12630,021-27444555,,,,
Es Walikota,PT Masharindo Utama Mandiri,F&B,BO,"9,8-24jt",Jl. Grogol 01/05 Magelang Kaliwungu Selatan Kendal,024-70357858,,,,
Binus Center,PT Prima Cipta Nusantara,Pendidikan,Franchise,n/a,Jl.KH Syahdan No.20 Kemanggisan Palmerah Jakarta Barat,021-5345830/5322157,,,,
Aqualis Fabricare,Aqualis Fabricare,Laundry,Franchise,550-800jt,Jl.Tebet Raya No.11M Tebet Jakarta,021-7402525,,,,
King Auto Interior,PT Intimex INternasional,Automotive,Franchise,210-510jt,Jl.Jend Sudirman No.781-785 Bandung,022-6034288,,,,
Melia Laundry,PT Melia Pilar Utama,Laundry,Franchise,"39,5-140jt",Jl.Sengon No.1 Janti Yogyakarta,0274-7474413,,,,
Bebek Bengil,PT Tri Boga Bersama,Restaurant,Kemitraan,n/a,Jl. H. Agus Salim no.132 Menteng Jakarta,021-3918091/3917965,,,,
Java Steak,Nareswari Group,F&B,Franchise,30-60jt,Jl. Yogyakarta KM4 Merto Yudan Magelang,0293-5557681,,,,
Busana Muslim Attaqi,Busana Muslim Attaqi,Fashion Retail,Keagenan,"Rp. 1,5jt",Jl.Mulyosari Tengah 8 No.2ª Surabaya,031-60106556,,,,
Kue Mulut,Kue Mulut,Makanan kue,Franchise,10-18jt,Villa Melati Mas Regency Blok H3 No.1 Serpong Tangerang,n/a,,,,
Martabak Alim,Martabak Alim,F&B,Franchise,125jt,Villa Nusa Indah Blok T6 No.1 Bekasi,021-82400147,,,,
Jamur Crispy,CV HWK Media Utama,F&B,BO,5-7 jt,Kadin Bandung Bisnis Center Jl. Telaga Bodas 31 Bandung,022-91930550,,,,
De Boliva,PT Boliva,F&B,Franchise,100-600jt,Jl. Dharmahusada Utara I/6 Surabaya,031-5963202,,,,
Sushi Rock & Roll,CV Sri,F&B,BO,55jt,Jl. Penerbangan Blok C NO.9 Komp. Dept. Penerangan-Pesanggrahan Jakarta,021-7992407,,,,
Kedai Digital,CV Kedai Kreasi Digital,Digital Printing,BO,n/a,Jl.Gambir NO.6 Deresan Yogyakarta,0274-7480080,,,,
RPX,PT Antareja Prima Antaran,Jasa Kurir,BO,8jt,Gd. RPX Center Jl. Ciputat Raya kav 99 Pd. Pinang lt.7 Jakarta,021-75901800,,,,
Kebab Kings,Kebab Kings Group,F&B,BO,45-60jt,Pondok Maritim Indah Blok QQ No.15 Kebraon Surabaya,031-72377222,,,,
Black Canyon Coffee Indonesia,PT Boga Citra Cemerlang,Resto & Cafe,Franchise,"2,5 Milyar",Jl. Danau Bratan Raya No.12 Taman Griya Jimbaran Bali,0361-7807929,,,,
Panorama World,PT Tirta Putra Wisata,Tour & Travel,Franchise,Rp. 500jt,Panorama building 5th Floor Jl. Tomang raya No. 63 Jakarta,021-25565000,,,,
Dante Coffee,PT Kurnia Mitra Duta Sentosa,F&B,Franchise,n/a,Kawasan Bangunan Multiguna Blok D5 Jl. MH Thamrin Km7 Paku Alam Serpong Tangerang,021-5398003,,,,
Miracle Aesthatic Clinic,Miracle Aesthatic Clinic,Klinik Kecantikan,Franchise,n/a,Jl.MH Thamrin 40 Surabaya,031-5663939/5616668,,,,
Bakmi Orange,Bakmi Orange,F&B,Kemitraan,"Rp.7,5jt",Jl. Ciasem Ujung No.4 Depok Timur,0818-06700600,,,,
Ummi Klinlaundry & Dry Clean,CV Ummi Bizz Center,Laundry,BO,15jt,Jl. Pondok Kelapa 12 Blok F5 No.21 RT07/11 Jakarta,021-93710483,,,,
Soto Ayam Kampung Surabaya ’Jolali’,Soto Ayam Kampung Suraba ’Jolali’,F&B,BO,20-30jt,Komp. Bulog Jl. Yanatera 16 No.4 BEkasi,021-93846527,,,,
Anin Rumah Batik,Anin Ruma Batik,Pakaian,BO,2jt,Komplek Bojong Menteng B/300 Rawalumbu Bekasi,021-3908386,,,,
Body Protector,Body Protector,Produsen Jaket Motor,Kemitraan,n/a,Jl.Anggrek Garuda Blok D1 No.19 Kemanggisan Jakarta,021-70920005,,,,
IKKI Sushi,IKKI Group,F&B,BO,70jt,Taman Bougenville Estate Jl. Bouhinia III Blok F1/3 Caman Bekasi,021-8645865,,,,
Ice Berry,PT Izzati Kita Indonesia,Juice,Franchise,5jt,Perum Bojong Depok Baru II Blok CU No.3 Cibinong,021-8756041,,,,
Jamur Crunchy,Jamur Crunchy,F&B,BO,n/a,Keputih Tegal Timur No.42-44 Sukolilo Surabaya,031-71506482/0856-3285660,,,,
Viobrano,Viobrano,Pembuatan Logo & PErcetakan,Perorangan,250jt,Jl.Gunung Sahari Indah Y2I - Surabaya,031-767468,,,,
Softcase Laptop Icainu,Icainu,Kerajinan Usaha Aksesoris Komputer,BO,Rp. 5jt,Perumahan Barata Jl. Barata tama II No.143 Kec.Karang Tengah Kel.Ciledug Tangerang,0856-8555152/021-99552815,,,,
Campina Scoop Counter,PT Campina Ice Cream Industry,Ice Cream,BO,n/a,Jl. Raya Duri Kosambi No.12 Cengkareng Jakarta,021-5414141,,,,
Sanggar Kreativitas Bobo,PT Penerbitan Sarana Bobo,Pendidikan,Franchise,150jt,Ged. Gramedia Jl. Panjang No.8ª Kebon Jeruk Jakarta,021-5330170,,,,
Supermap,PT Master Centranusa Cemerlang,Jasa Pendidikan Learning Center,BO,100-300jt,Jl.Surya Kencana No.910 Pamulang Tangerang,021-7499203,,,,
Mr.B & Mr Burger,PT Gempita Indonesia Muda,F&B,Franchise,100jt-2M,Jl. RM Kahfi 1 No.33 Ciganjur Jakarta 12630,021-27444555,,,,
Moissani,PT Multi Gemma Lestari,Perhiasan,Licence,Rp. n/a,Puri Imperium LG 32 Jl. Kuningan Madya kav 5-6 Jakarta,021-83793398,,,,
Super Bimbel GSC,PT Gema Sukses Cemerlang,Bimbel,Franchise,350-400jt,Jl.R. Sukamto No.3150-3151 Palembang,0711-821514,,,,
3 to 6 Childhood Education Center,PT Inti Sari Langkah Positif,Pendidikan,Franchise,300-350jt,Jl.Raya Pasar Minggu No.39ª Jakarta Selatan,021-79192906,,,,
Lesehan Alam Sejuk,CV Imam Brothers,F&B,BO,n/a,Jl. Terusan Kapten Halim No.38 Jl. Raya Wanayasa Pondok Salam Purwakarta,0264-8223517,,,,
Tahu Ikan Tuna,K Food,F&B,BO,"2,5jt",Jl. Diponegoro No.12 Jetis Ponorogo Jawa Timur,0813-35668077,,,,
Ayam Bakar Mas Mono,PT Panen Raya Indonesia,Makanan,Franchise,500jt,JL. Cemara 3 no.4-5 Pangkalan Jati Pondok Labu – Jakarta,021-7660487,,,,
Nasi Bakar Ku Suka,CV Indo Nusantara,F&B,BO,7jt,Jl. Ki Hajar Dewantara 12D Jombang Jawa Timur,N/A,,,,
Sajadah Ceria,Sajadah Ceria,Sajadah/Kaos Baju Anak,Keagenan,Rp. 500rb,Pondok Manggala A2 No.16 Surabaya,031-7662030,,,,
Parpica Arena Bermain Keluarga,PT Adimas Tristar Abadi,Entertainment,BO,n/a,Pusat Grosir Cililitan (PGC-2) Lt.3A no.630 Jl. Mayjen Sutoyo no.76 Jakarta,021-30019800,,,,
Mie Hezo,RM Mie Tega Lega,F&B,Franchise,"6,5jt",Jl. Raya Barat No. 607-609 Cimahi Bandung,022-6632161,,,,
Digitallapan,PT Mampang 8 Cipta Karya,Souvenir Merchandise,BO,75jt,Jl.Mampang Prapatan VIII No.62 Jakarta Selatan,021-79182289,,,,
Cendol Gading,CV Gading Mas,F&B,BO,"2,5jt",H. Zein No.26 Rawamangun,021-47861268,,,,
Martabak House,Martabak House,Resto/Cafe,BO,150jt,Jl. Seturan (dpn SD Budi Mulya) Sleman Yogyakarta/Jl. Kusuma Wardani No.9-11 Semarang,0274-9237261/024-70117206,,,,
Bebek Goreng Mbah Wongso,CV Inti Cipta Pangan,F&B,Franchise,n/a,Jl. Solo KM4 Condong Catur Tunggal Depok - Yogjakarta,0274-486878,,,,
Balon Udara,Balon Udara Franchise Shop,F&B,Franchise,n/a,Jl. Dr Makaliwe I/9 grogol Jakarta Barat 11450,021-5636838,,,,
Internusa,Lembaga Pendidikan Internusa,Pendidikan Komputer,Lisensi,75-250jt,Jl.Waru Raya No.28 Rawamangun Jakarta,021-47882155,,,,
PRAXIS IQ,PT Praxis Indonesia,IT Training Center,BO,300-600jt,Menara Rafindo Lt.10 Jl. Kebon Sirih Kav 75,021-44306999/3909802,,,,
Brain Child Learning Indonesia,PT Brain Child Indonesia,Pendidikan,License,150-250jt,Jl. Tampak Siring Blok KJG No.12 Komplek Daan Mogot Baru,021-54372496,,,,
Aleyda Spa,PT FAW Activation Indonesia,Spa,Franchise,150jt,Jl.Cikatomas No.9 Jakarta,0817-179543,,,,
Bakso Keju,PT Bakso Keju Malang,F&B,Franchise,30-35jt,Jl.Lokon No.4 - Malang,0812-3239725,,,,
X-Fill Refill Center,PT X-Fill Indonesia,Tinta,BO,210jt,Komp. Griya Inti Sentosa Jl. Griya Agung No.2 Sunter Agung Jakarta,021-6401552,,,,
Wedang Wayang,CV Duta Kencana,F&B,Franchise,5jt,Jl. Soragan 106 Jogyakarta,0274-625082,,,,
Klinik Herbal,PT Mahkota Dewa,Herbal & Spa,BO,50jt,Jl.Gaharu AA1 Nyiur Melambai II Rawa Badak Utara KOja,021-4302762/43912313,,,,
Alfamart,PT Sumber Alfaria Trijaya,Retail Minimarket,Franchise,n/a,Jl.MH Thamrin No.9 Cikokol Tangerang,021-55755966,,,,
Martabak Mumbai,CV Boga Nusa Jaya,F&B,BO,9jt,Regency Kuda 2B-16 Jagit Wonokromo Surabaya,031-71618111,,,,
Soccer Ice Cream,PT Raja Asia Iboga,F&B,Lisensi,75-90jt,Gedung Talavera Lt.28 JL. TB Simatupang No.22-26 Jakarta 12430,021-75999927,,,,
Indo Waffle,UD Suka Cita,F&B,BO,250jt,Jl. Baru Teluk Buyung No.19 Bekasi,021-88962687,,,,
Ayam Goreng Mbok Berek Ny Umi,PT Weiling Simba Wulung,F&B,Franchise,400jt,Jl. Prof Dr. Sutomo SH.14 Jakarta,021-8312921,,,,
Bola Ubi Madoo,Bola Ubi Madoo,F&B,BO,15jt,Jl. A. Yani No.26 Tangerang,0812-81635500/021-83333455,,,,
Rangu,Rangu Quality Food,makanan,Franchise,5jt,Komp. Buana Jaya No.16 RT013/12 Jatimekar Kec. Jatiasih Bekasi,021-99296972,,,,
Tiramizzu,Tiramizzu,F&B,BO,2jt,Jl. Keputih Permai Blok 3B No.4 Sukolilo Surabaya,0838-98285781,,,,
Martabak Tela,Homy Group,F&B,Franchise,n/a,Jl. Bugisan 36 Jogyakarta,0274-7499911,,,,
Iwata Tours & Travel,PT Iwata Nusantara,Tour & Travel,Franchise,Rp. 380jt,Jl.Sultan Agung No.58 Delta Manggarai Jakarta,021-83700245,,,,
FOX,PT Putra Dwi Mukti,Penjualan Sepatu Hujan,BO,Rp. 30-50jt,Jl.Cikuputera 115A Bandung,022-2504666,,,,
Ester House of Beauty,Ester House of Beauty,Klinik Perawatan Kulit,Franchise,600jt-1M,Jl.WR Supratman 22 Surabaya,031-5618267/031-7343074,,,,
Same Same Clothing,Same Same Clothing,Distro,BO,Rp. 30jt,Jl.Banyak Endah No.17 Kota Baru Parahyangan Bandung,0818-809692/0818-208344,,,,
IEXP,Inter Expedisi,Business Service,Franchise,35jt,Gd. Perkantoran Pulomas I G2 Lt.3 Jl. A.Yani No.2 Jakarta,021-47869376,,,,
Spot Bordir Franchise,JPG Technology,n/a,BO,"12,5-200jt",Jl.Pondok Mas Raya Ruko No.12-28 Baros Cimahi Bandung,022-662986,,,,
Master Toner,PT Master Ssentra Nusa Cemerlang,Refill Tinta Toner & Service Komputer,Franchise,50-350jt,Jl.Surya Kencana No.9-10 Pamulang Tangerang Selatan Banten,n/a,,,,
Billie Chick,PT Billie Chick Indonesia,F&B Bakery,BO,n/a,Taman Ratu Indah Blok B4 no.26 Kedoya-Jakarta,021-56957878/56958214,,,,
Tela tela Fried Cassava,CV Effa Indoboga,Makanan,Franchise,5-7jt,Jl. Tambak Bayan III No.12 Yogyakarta,0274-4853566,,,,
Smart Science,Warna Warni Children Center,Pendidikan,Franchise,15jt,Jl.Colombo 8 Samirano baru Jogjakarta,0274-561089,,,,
Kebab Kings,Kebab Kings Group,F&B,BO,45-60jt,Pondok Maritim Indah Blok QQ No.15 Kebraon Surabaya,031-72377222,,,,
Fruit Coffee Ala’din,Fruit Coffee Ala’din,F&B,Franchise,"7,5jt",Jl. Cibodas Baru No.13 Antapani - Bandung,022-92718835/92718836,,,,
MER Furniture Center,PT Garant Mobel Indonesia,Franchise Furniture,Franchise,Rp. 500jt,Jl.Roda Pembangunan No.28 Kadang Roda Naggewer Cibinong Bogor,0251-8652211,,,,
Kebab Madina,Kebab Madina,Makanan,BO,10-25jt,Perum Pesona Salsabila Blok F1 Jl. Wates KM9 Parengdawe Balecatur Gamping asleman Yogyakarta,0274-6648661,,,,
Ummi Klinlaundry & Dry Clean,CV Ummi Bizz Center,Laundry,BO,15jt,Jl. Pondok Kelapa 12 Blok F5 No.21 RT07/11 Jakarta,021-93710483,,,,
Julia Jewelery,PT Sumberkreasi Cipta Logam,PErhiasan,Franchise,n/a,Jl.I Gusti Ngurah Rai No.1 Jakarata,021-8199280,,,,
Chicken and Shake,Ambarukno F&B Service,Fast Food,BO,75-300jt,Ambarukmo Regency 2 No.C1 Depok Sleman Yogyakarta,0274-6556800/489200,,,,
Franchise Syariah Umiku,CV Cinta Umiku,"Usaha makanan, crepes, burger, fried chicken",Franchise,"6,5-15jt","Jl. Inpres Raya Gg. Nangka No.36 Kelurahan Tengah Kramat Jati, Jakarta",021-50425106,,,,
Tiara Distro,Tiara Corporation,Fashion Muslimah,BO,Rp. 35 jt,Braga Plaza Jl. Braga Blok A6 No.5-11 Bandung,022-92535753,,,,
Speed Laundry,PT Lavatrisi Mandiri,Laundry,Perorangan,23-50jt,JL Rajawali Raya Kemayoran Jakarta,021-64715246,,,,
Raja Bebek Bakar,Raja Bebek Bakar,"Resto, Rumah Makan dan Warung Kaki Lima",Franchise,10-15jt,Jl. H. Mencong Gg. Ahmad Mo.79 RT02/13 Penggilingan Timur Ciledug Tangerang Banten,021-71097816,,,,
Yomart,PT Mitra Yomart Sejati,Retail Minimarket,Franchise,150-450jt,Jl.Jakarta 53 Bandung,022-7230927,,,,
Tela KING,CV Putrajaya,Makanan Siap Saji,Franchise,6jt,Jl. Bung Hatta No.28 Mataram Lombok,0370-626780/643728,,,,
Star Pizza,CV San Food Indonesia,F&B,BO,5-25jt,Jl. Candi Tembaga Selatan No.9 Perum Pasadena Semarang,024-7606272,,,,
Roti Boy,PT Roti Boy Bakes Indonesia,F&B,Franchise,n/a,Mall Taman Anggrek Ground Floor E1 Jl. S. Parman Jakarta,021-5639993,,,,
Kopi Thok,CV Ripras Makmur Abadi,Minuman,BO,"6,5jt",Jl. Dukuh Kumpang Barat 10 No.4 Surabaya,031-71479810,,,,
Bakso Cak’Di,Perorangan,F&B,BO,7.5jt,Jl. Medokan Ayu 1/H.10 Surabaya,0815-53010055,,,,
Sajadah Ceria,Sajadah Ceria,Sajadah/Kaos Baju Anak,Keagenan,Rp. 500rb,Pondok Manggala A2 No.16 Surabaya,031-7662030,,,,
Cepy ATL,Cepy ATL,F&B,BO,8-75jt,Jl.Propelat Raya No.1 – Bandung,022-7514450,,,,
Bakso Kepala Sapi,PT MM Food and BV,F&B,Franchise,n/a,Mananggal V/4 - Surabaya,031-8283474,,,,
Tofuku Tahu Krispi,CV Tofuku Mitra Indonesia,Makanan,BO,"5,5jt",Jl. Wonorejo Indah Timur Gg.7 No.1A Surabaya,031-8792341/72605605,,,,
Doremi Pizza,CV Nusaboga Indonesia,Makanan,Franchise,20-80jt,Jl. Nusantara IV BD 23 Wisma Tropoda Waru - Sidoarjo,031-77293070,,,,
Nino Bland,CV Ellino Group,F&B,BO,6 jt,Deni Kerto RT01/07 Sariharjo ngalik Sleman Yogjakarta,0274-7145900,,,,
Eco Printlution,PT EPL,Printing,BO,n/a,Jl.Ngagel Madya I No.21,031-5016088,,,,
Lick Me,PT Synergy Kinetics Indonesia,F&B,Franchise,n/a,Sampoerna Strategic Square Tower B19/7 Jl. Jend. Sudirman kav 45-47 Jakarta,021-5750420/6245094,,,,
Jogya English Dormitory,CV Jogya English Dormitory,Jasa Pendidikan Bahasa Inggris,Franchise,100-120jt,Jl.Nogorojo No.9 Gowok - Yogyakarta,0274-6588819,,,,
Es Cendol Gading,CV Sukses Group,F&B,BO,"5-7,5jt",Jl.H Ten No.26 Rawamangun Jakarta,021-47861268,,,,
Campina Scoop Counter,PT Campina Ice Cream Industry,Ice Cream,BO,n/a,Jl. Raya Duri Kosambi No.12 Cengkareng Jakarta,021-5414141,,,,
TIKI,CV Titipan Kilat,Jasa Pengiriman,Agen,n/a,Jl.Tomang Raya No.11 Jakarta,021-5665262,,,,
Sekolah Global Mandiri,Sekolah Global Mandiri,Pendidikan,Franchise,2-60 Milyar,Legenda Wisata Jl. Alternatif Trans Yogi Km 6 Cibubur,021-82496200/6300,,,,
Ayam Goreng Tulang Lunak Hayam Wuruk,PT Panen Jaya Bersama,F&B,Franchise,800jt-1milyar,Jl. Greenville Blok A2 no.2,021-6969055,,,,
Corner Kebab,CV Universal Info Excomindo,F&B,Franchise,15-20jt,Komp. Ruko Ogie Plaza Blok A/02 Jl. Siliwangi No.8 Pondok Benda Pamulang Tangerang Banten,021-7493969/91309309,,,,
Extra Qilo Laundry,CV Mamabros Servicindo,Laundry,Franchise,35-45jt,Komp. Pertokoan Taman Buana Indah Blok B13 No.6 Batam,0778-426244,,,,
TBI (The British Institute),PT Titian Buana Ilmu,Pendidikan,Franchise,"1,5-2M",Menara Kuningan Jl. HR Rasuna Said Blok X-7 Kav.5 Jakarta Selatan,021-30027989,,,,
Chinatoast Kopi Tiam,Chinatoast Kopi Tiam,F&B,BO,90jt,Internasional Ferry Terminal Batam Center B2 No.12,0778-9131888,,,,
Asia Martabak Jepang,PT Asia Sunrise Indo,F&B,Franchise,Rp. 10jt - Rp. 80jt,Jl. Merkuri no.17 - Bandung,022-7561868,,,,
Roti Mariam Jameela,CV Ripras Makmur Abadi,F&B,BO,7 jt,Jl. Dukuh Kumpang Barat 10 No.4 Surabaya,031-71479810,,,,
LBB Youcan,Media Nusantara,Pendidikan & Pelatihan,BO,10jt,Jl.Kejawaan Gebang IX/5 Surabaya,031-5312917,,,,
Express Crepes & Corn,Express Food,F&B,Franchise,n/a,Griya Depok Asri A2/8 Depok,021-7707410,,,,
Da’im Donut,Da’im Donut,F&B,BO,n/a,Jl. Kaliurang KM10 Gondangan Ngalik – Jogjakarta,0274-3042288,,,,
Krisana Tea House,Krisana Tea House,F&B,Franchise,"5,5-15jt",Jl.GM Situt No.58 Singkawang Kalimantan Barat,0562-631497,,,,
Bobby Steak,PT Sushantco Indonesia,F&B,Franchise,207-347jt,Jl. Tanjung Duren Utara No.464 Grogol Petamburan – Jakarta,021-5670081,,,,
Paparon’s Pizza,PT Entertainment International Tbk,F&B,Franchise,n/a,Pondok Pinang Center Blok C46-48 Jl. Ciputat Raya Jakarta 12310,021-75915031,,,,
Carroza,Sumara Cemerlang,Manufacturing,Franchise,138jt,Jl.Nusantara Timur Kav D45 Sunter Jakarta,021-65832211,,,,
Juragan Tebu,CV Putra Jawa Indonesia,minuman tebu,Franchise,12-35jt,Jl. Gunung Rinjani 2 No.70 Perumnas Cirebon,0231-333112,,,,
Royal Crepes,CV Tiga Bintang Sejati,Crepes,Franchise,"6,5-12jt",Jl. Taman Holif Indah F3 No.4 Bandung,022-6070481,,,,
Kursus 3A,PT Asih Asah Asuh,Pendidikan,Franchise,27jt,Jl.Colombo 8 Samirano Baru Jogjakarta,0274-561089,,,,
Soto Abas,Soto Abas Indonesia,F&B,Franchise,50jt,JL. Rajawali No.123 Perumahan Rewin Sidoarjo,021-71015661,,,,
Qindy Academy,PT Qindy Academy,Home Schooling & Pengembangan SDM,Franchise & BO,100jt,Jl.Aru PD7 Nusantara BSD Sektor 14.6,021-70774639,,,,
Pota-Potatos,CV Pioni Adya Group,Kentang,Franchise,5jt,Jl. Jinggakartika Kulon No.18 Bandung,022-92699771,,,,
Cireng Isi Kodjo,CV Sakura Kreasi Mandiri,Perdagangan Umum,BO,"1,5-10jt",Jl.Paledang No.77a Bandung,022-91686130,,,,
Bakso Franchise Putra Solo,bakso Franchise Dutra Solo,F&B,Franchise,20-80jt,Jl. Ahmad yani Utara No.6 Denpasar,0361-8442482,,,,
Mie Ayam Abadi Serpong,Mie Ayam Abadi Serpong,F&B,kemitraan,n/a,Jl. Raya Serpong No.5 Jakarta,021-5375935,,,,
Speak 2 Succes Language Center,Speak 2 Succes INC,Jasa Pendidikan dan Layanan Bahasa,Franchise,150-200jt,Cilandak Indah Kota Tangerang Blok E29/17 Ciledug,021-7351186/70914588,,,,
Mia Laundry,CV Mia Rasyondo Utama,Laundry,BO,70jt,Jl.Bintara Gerbang PT IKPP Km 4 Perawang Riau,0761-7672342,,,,
Pisang Goreng Planet Krispy Kreme,Pisang Goreng Planet Krispy Kreme,F&B,Franchise,n/a,Jl. Babarsari No.23 BBC Plaza Yogjakarta,0274-497694,,,,
Clup Clup,PT Raya Waralaba,Makanan Cepat Saji,Franchise,25jt,Komp. Perkantoran Ruko Bumi Satria Kencana Blok B No.4 Jl. Raya Kalimalang Bekasi,021-88952042,,,,
My Way Steak,My Way Steak,F&B,BO,25jt,Jl. Pemuda No.17 Jakarta,021-47864428,,,,
Natrabu Minang Restaurant,PT Natrabu Indah Agung,F&B,Franchise,300jt,Jl. Agus Salim No.29A Jakarta,021-3907783,,,,
Lutuye Salon,PT Lutuye Indonesia,Salon Kecantikan,N/A,N/A,Wisma BCA 1 LT.9 Jend. Sudirman Kav 22-23 Setiabudi Jakarta,021-5712124/5712598,,,,
Roti Boy,PT Roti Boy Bakes Indonesia,F&B,Franchise,n/a,Mall Taman Anggrek Ground Floor E1 Jl. S. Parman Jakarta,021-5639993,,,,
ESL Express,PT Eka Sari Lorena,Jasa Pengiriman express kurir & kargo service,BO,15-20jt,Jl.RA Kartini No.16 Cilandak Jakarta,021-75910023/7506655,,,,
Little Annie Yogurt,CV HWK Media Utama,F&B,BO,"8,8-15jt",Kadin Bandung Business Center Jl. Telaga Bodas No.31 Bandung,022-91930550,,,,
GAFA,GAFA,Kursus Baca Tulis,Kemitraan,33 jt,Jl.Tebet Barat Dalam No.76ª Tebet Jakarta,021-83705977,,,,
Naka Michi,PT Danu Muri Hardika,Car Audio,Franchise,n/a,Jl.Ciputat Raya No.19-8 Jakarta,021-7698460,,,,
Warung Bakso Mandiri,PT Nugroho Ardanareswari,F&B,BO,7jt,Jl. Kebon Pedes No.58 Bogor,0251-8376809,,,,
Bikemart,Taman Nusantara Motor,Distribusi Spare Parts & Variasi Sepeda Motor,Grosir,n/a,Jl.S Parman No.206 Purwokerto 53141,0281-9288866,,,,
Suga Food Fried Chicken,Suga Food Indonesia,F&B,BO,20-99jt,Ruko Villa Nusa Indah 2 Blok S8 No.21 Bekasi,021-84990220,,,,
X-Fill Refill Center,PT X-Fill Indonesia,Tinta,BO,210jt,Komp. Griya Inti Sentosa Jl. Griya Agung No.2 Sunter Agung Jakarta,021-6401552,,,,
Martha Tilaar Salon Day Spa,PT Cantika Puspa Pesona,Salon & Spa,Franchise,"1,5 Milyar",Jl.Pulokambing II No.1 Kawasan Industri Pulogadung - Jakarta,"021-4603717 ext 816,817,819",,,,
Laundry Indonesia Com,Laundry Indonesia Com,Jasa Laundry,Franchise,90jt,Jl.Radar Auri No.48 Ruko Mahetan Cimanggis Depok,021-98281810,,,,
Melia Laundry,PT Melia Pilar Utama,Laundry,Franchise,"39,5-140jt",Jl.Sengon No.1 Janti Yogyakarta,0274-7474413,,,,
Blueray Shop,Blueray Technology,Elektronik,Mitra,15-29jt,Jl.Ruko Mangga Dua Square Blok E30 Jl. Gunung Sahari Raya,021-62318488,,,,
